subject,relation,object
eBay,implements,Batch Arbitration process
this User Agreement,is held to be,unenforceable
eBay,may terminate,for any reason
our Services,terminate,anyone
California Department of Consumer Affairs,is located in,"Sacramento, CA"
Batch Arbitration,is subject to,arbitration
Dispute,arises out of,this Agreement
eBay,offers,image editing tools
user,is disclosed to,third party
eBay,is liable for,any damages
eBay,is based in,site where you listed your item for sale
credit bureaus,may reflect,other defaults
TransUnion,is reported to,credit bureau
Services,is based in,our
30 DAYS,is a,DATE
eBay,has never sold a vehicle listed on,by consignment
eBay,helps,you sell or buy items
you,waives,arbitration
Services,will always be,accurate
EBAY,is liable to,third party
WE,exclude,IMPLIED WARRANTIES
this User Agreement,is assigned to,Headings
eBay,may affect,listing appearance
Services,is used to,provide a customized and personalized experience
eBay,issues a refund,buyer
Services,is subject to,policies and terms
Batch Arbitration,provides for,one set of filing and administrative fees
eBay,offers,generative AI tools
eBay,is a trademark,eBay in the U.S.
eBay,to resolve a dispute,your account
eBay Payment Entities,collect,such charges
eBay Inc.,is the recipient of,Litigation Department
your,is a,employee
eBay,is subject to,arbitration
eBay,charges,final value fees
Services,is used for,selling goods and services
Sellers,may remove,their return preferences
Agreement to Arbitrate,includes,validity
35 days,is the deadline for,arbitrator appointment
this Agreement to Arbitrate,is accepted,any changes
you,may seek relief in,small claims court
Agreement to Arbitrate,includes,Dispute
sellers,may elect to submit complaints against,buyers
Agreement to Arbitrate,includes,enforcability
Intellectual Property Rights,includes,moral rights
Section 19.B.7,shall be,void
Dispute,relates to,actions of eBay or its agents
eBay (UK) Limited,is contracted with,the United Kingdom
We,may amend,this User Agreement
eBay,is not liable for,loss of goodwill
eBay,may deduct,refund
eBay,may affect,search results
eBay,detects and prevents fraudulent activity,User Agreement
business entity,is authorized to act on behalf of,business
eBay,will not attempt to hold,us or our data providers liable
Equifax,is reported to,credit bureau
eBay,is used to translate,local languages
eBay,may report information to,credit bureaus
credit bureaus,may reflect,missed payments
Agreement to Arbitrate,is resolved exclusively by,a state or federal court
Caramel,is set forth,Terms of Use
eBay,is not liable for,loss of money
eBay,is not responsible for,content provided by third parties
eBay,agrees,You
eBay,provides,listing
eBay,is responsible for,maintaining the accuracy of information
"Caramel Dealer Services, LLC",provides services to,eBay Secure Checkout
Section 19.B.3,includes,Dispute
You,agrees,eBay
eBay activity,is related to,item
Section 19.B.3,includes,breached
eBay,is responsible for,keeping your physical address up to date
Agreement to Arbitrate,is subject to,section 19.B.9
item,has a,price and shipping cost
India,resides in,you
eBay,is used by,assignees
eBay Message Center,is notified through,email
eBay,is not an expert on,vehicle condition safety
Section 19.B.3,decided by,court
AAA,rules are decided by,this User Agreement
eBay,has rights,third party
Caramel,is an affiliate of,eBay
eBay,is not controlled by,insurance of vehicles
eBay,has rights,Opt-Out Notice
Services,is used for,selling
eBay Marketplaces GmbH,is contracted with,any other country
eBay,may contact you using,text messages
the User Agreement,is acknowledged through,electronic click-through
EBAY,is liable to,"officers, directors, agents, and employees"
eBay,charges sellers for,return shipping labels
eBay,is not responsible for,safety
item,has a,terms of service
eBay,is liable for,loss of or inability to do business
Services,includes,listings
eBay,agrees to cooperate in good faith with,NAM
filing deadlines,is tolled by,Informal Dispute Resolution
Dispute,is resolved exclusively through,final and binding arbitration
this User Agreement,is a,Services
eBay,uses,autodialed or prerecorded calls
eBay,is liable for,damage to your hardware device
eBay,agrees to submit to,"the courts located within Salt Lake County, Utah"
eBay Payment Entities,provides,services
Services,set forth the entire understanding and agreement,you
eBay Message Center,is notified through,the eBay
eBay,to collect a debt,your account
Services,is secure,our
EBAY INC.,is located at,"DRAPER, UT 84020"
eBay,detects and prevents fraudulent activity,messages
you,may decide,not follow
eBay,is subject to,buyer protection programs
Payment Services,survives termination,Disclaimer of Warranties
eBay,prohibits,"use of robot, spider, scraper, data mining tools, data gathering and extraction tools, or other automated means to access our Services"
eBay,is not an expert on,vehicle mechanical fitness and engineering
User Agreement,is intended to create,no employee-employer relationship
eBay Services,may publish and promote,partners
Fees and Costs Payment,is governed by,the Fee Schedules
eBay,"has never shipped, distributed, or delivered",any vehicle listed on eBay sites
item,has a,history
Disputes,are exempted from,Sections 19.B
eBay,facilitates,third-party service providers
eBay,changes selling fees,temporary promotions
eBay,is reported to,credit bureau
eBay Payments Entities,may collect amounts owed,amounts owed
you,breach of,our Services
the Agreement to Arbitrate,governed by,eBay
Batch Arbitration,provides for,resolution of each batch on a consolidated basis
eBay,generates,eBay-generated shipping labels
Agreement to Arbitrate,is found not to apply to,a court order
EBAY,is liable to,"any special, indirect, or consequential damages"
listing,may not be immediately searchable,up to 24 hours
eBay,harvest or otherwise collect or use information about users,without their consent
California resident,is,Cal
your,is a,parent company
Section 19.B.3,includes,illegal
The User Agreement,sets forth the entire understanding and agreement,eBay
WE,exclude,NON-INFRINGEMENT
eBay,may collect,other telephone numbers
Dispute,relates to,any and all disputes or claims
eBay Money Back Guarantee,is limited to,the price the item sold for on eBay
Section 19.C,is pursuant to,the court
eBay,may renew automatically,fixed-price listings
Agreement to Arbitrate,includes,scope
Batch Arbitration,is based on,25 or more individual Demands
eBay Money Back Guarantee,is limited to,$100
eBay,is based in,Fees and Taxes
seller,is liable for,all sales made using
Complaint Assistance Unit,can be contacted by,(800) 952-5210
our User Privacy Notice,is governed by,your personal information
You,agree to,Payments Terms of Use
eBay Canada Limited,is contracted with,"240 Richmond Street West, 2nd Floor Suite 02-100, Toronto, ON, M5V 1V6, Canada"
Batch Arbitration,is subject to,arbitration hearing
eBay Payments Entities,may collect amounts owed,late fees
NAM,will appoint,the arbitrator for each batch
seller,is liable for,fees
eBay,has,Listing policies
eBay,may terminate,at any time
this Agreement to Arbitrate,is found under the law to be,invalid or unenforceable
Caramel,is set forth,Privacy Policy
Informal Dispute Resolution,is resolved within,45 days
eBay,is not responsible for,pricing
seller,is liable for,fees arising out of
Caramel,is set forth,additional policies and terms
eBay Payment Entities,provides,your business
eBay,or its agents,products or services
eBay,is a,marketplace
eBay,is not a,agent acting on behalf of vehicle brokers
Content,is used in,our Services
eBay Payment Entity,has no responsibility or liability for,fees
Agreement to Arbitrate,is found not to apply to,a particular claim
Agreement to Arbitrate,is found not to apply to,any claim or dispute between you and eBay
this User Agreement,is governed by,federal law
our Services,terminate,for any reason
eBay Payment Entities,collect,charges
eBay Canada Limited,is contracted with,Canada
this User Agreement,includes,the right to add to
eBay Money Back Guarantee,is limited to,the greatest of (a) any amounts due under
The NAM Rules,are administered by,the parties
eBay,is not responsible for,vehicle availability
buyers,receive,authentication
this Agreement to Arbitrate,is the only way to opt out of,this procedure
Global Collections,is located at,"7700 West Parmer Lane, Building D"
Services,are accessible in,internationally
YOU,waives,Jury Trial
eBay Money Back Guarantee,is limited to,its original shipping costs
eBay,commercialize,eBay application
arbitrator,shall be bound by,prior arbitrations involving the same eBay user
eBay,charges sellers for,other reasonable fees
eBay Money Back Guarantee,is used for,case
eBay.com,is not guaranteed to have,safety of vehicles
NAM,administers,batches
eBay,operates,global marketplace
eBay,generates,return shipping labels
Dispute,relates to,User Agreement
eBay (UK) Limited,is contracted with,"1 More London Place, London, SE1 2AF, United Kingdom"
eBay,ships to,buyers around the world
You,agree to participate in,Informal Dispute Resolution
